offer_id,property_id,lead_id,agent_id,offer_amount_mxn,offer_date,offer_status,counteroffer_amount_mxn,closing_window_days,financing_type,deposit_pct,notes_internal
O001,P015,L001,AGT-02,13500000,2024-01-14,contraoferta activa,14800000,30,contado,10,Gabriela ofreció 13.5M sobre precio de 16.2M. Dueño contravino con 14.8M. Gap de 1.3M. Gabriela aún deliberando con su esposo. Alta probabilidad de cierre si se acercan 500K más.
O002,P007,L015,AGT-08,11000000,2024-01-26,contraoferta activa,12000000,45,contado,10,Rossana ofreció 11M sobre precio de 12.4M. Dueño bajó a 12M. Gap de 1M. Rossana tiene apego emocional alto a la propiedad. El árbol del jardín es el argumento de cierre. Trabajar ese ángulo.
O003,P026,L017,AGT-12,3000000,2024-01-21,aceptada,0,21,contado,15,Ana Cecilia ofreció 3M sobre precio de 3.2M. Propietario aceptó sin contraoferta. Cierre limpio. Notaría programada para el 11 de febrero. Expediente en orden.
O004,P004,L003,AGT-03,8500000,2024-02-01,en revisión legal,0,60,contado,10,Sophie ofreció 8.5M sobre precio de 9.8M. El propietario no rechazó pero pidió tiempo para revisar con su apoderado. El proceso legal de fideicomiso para extranjera alarga los tiempos. Emilio Dzul está coordinando.
O005,P002,L004,AGT-05,6800000,2024-01-18,aceptada,0,45,crédito bancario,5,Andrés ofreció 6.8M sobre precio de 7.2M. Propietario aceptó con condición de que el crédito BBVA se formalice en 30 días. Pre-aprobación de 5.5M confirmada. Diferencial de 1.3M en contado. En proceso de formalización bancaria.
O006,P031,L031,AGT-02,13800000,2024-01-31,contraoferta activa,14200000,30,contado,10,Armando ofreció 13.8M sobre precio de 14.5M. Dueño bajó a 14.2M. Gap de 400K. Armando está muy cerca. El informe técnico del generador que pidió puede ser el detonador del cierre si llega limpio.
O007,P037,L039,AGT-01,20000000,2024-02-08,en negociación,21500000,21,contado,15,Lorenzo ofreció 20M sobre precio de 21.5M. Vendedor firme en precio por su arquitecto diseñador que no quiere sentar precedente de descuento. Gap de 1.5M. Lorenzo tiene capacidad pero usa el precio como posición. Trabajar valor de plusvalía del corredor como argumento.
O008,P019,L025,AGT-01,26000000,2024-02-09,en negociación,28000000,30,contado,10,Rafael ofreció 26M sobre precio de 28.5M pero el dueño contravino en 28M. Gap de 2M. Situación del vendedor (divorcio activo) genera presión de tiempo a su favor. Rafael lo sabe. Manejar con cuidado extremo sin explotar la situación del dueño.
O009,P022,L021,AGT-01,0,2024-01-26,carta de intención firmada,0,14,renta mensual,0,Patricio firmó carta de intención para renta de P022 a 75K mensuales. Empresa avala contrato. Papelería corporativa recibida el 24 de enero. Notaría coordinando contrato de arrendamiento. Sin depósito porque la empresa responde con garantía corporativa.
O010,P006,L022,AGT-06,0,2024-01-23,carta de intención firmada,0,10,renta mensual,0,Luciana firmó carta de intención para P006 a 55K mensuales con contrato de 12 meses. Depósito de un mes acordado. Llegará a Mérida el 5 de febrero. Entrega de llaves programada el mismo día.
O011,P009,L014,AGT-01,13500000,2024-02-10,en revisión legal,0,45,contado,10,James y Patricia ofrecieron 13.5M sobre precio de 14.9M en su primera visita presencial. El desarrollador no rechazó pero pidió que la oferta fuera formal por escrito con condiciones claras. Proceso de fideicomiso para extranjeros en paralelo con Emilio Dzul.
O012,P003,L025,AGT-01,29500000,2024-02-06,rechazada,32000000,0,contado,0,Rafael ofreció 29.5M sobre precio de 32M. Vendedor rechazó sin contraoferta. Dijo que tiene otro interesado. No confirmado. Puede ser táctica. Rafael no insistió. Se movió a P019. Mantener en radar por si el otro interesado no avanza.
O013,P013,L006,AGT-13,38000000,2024-05-15,pendiente visita,0,90,contado,10,Oferta indicativa de Thomas Brinkmann antes de su visita de mayo. No es oferta formal pero verbalizó disposición de 38M si la hacienda cumple las expectativas del tour. Registrado como intención para dar seguimiento post-visita.
O014,P013,L019,AGT-13,42000000,2024-06-15,pendiente visita,0,90,contado,15,Oferta indicativa de Isabelle Fontaine sujeta a visita de junio y due diligence completo. Mencionó capacidad de hasta 45M si el fideicomiso y licencia de hospedaje están en orden. Socios en París ya aprobaron el rango. Registrar pero no comunicar al propietario hasta después de la visita.
O015,P007,L038,AGT-08,11500000,2024-01-30,en negociación,12200000,30,contado,10,Renata ofreció 11.5M sobre precio de 12.4M. Dueño bajó a 12.2M. Gap de 700K. Hay dos perfiles activos en P007 simultáneamente: Rossana (O002) y Renata (O015). Situación delicada. No revelar la existencia de la otra oferta pero sí crear urgencia real. Coordinación estricta entre AGT-08 y AGT-01.
O016,P027,L027,AGT-08,17500000,2024-02-02,contraoferta activa,18800000,45,contado,10,Héctor Bolio ofreció 17.5M sobre precio de 19.8M. Dueño bajó a 18.8M. Gap de 1.3M. Héctor tiene urgencia por la llegada del bebé. Eso acorta su margen de negociación real aunque no lo sabe el vendedor. Manejar con empatía pero sin revelarlo.
O017,P015,L009,AGT-01,15200000,2024-02-03,rechazada,0,0,contado,0,Lourdes Góngora ofreció 15.2M sobre precio de 16.2M mientras espera que P010 se libere. Propietario rechazó sin contraoferta. Propiedad no es primera opción de Lourdes y el dueño lo percibió. Sin seguimiento activo en esta oferta.
O018,P009,L039,AGT-01,13800000,2024-01-31,retirada por lead,0,0,contado,0,Lorenzo visitó P009 antes del tour ejecutivo y verbalizó una oferta informal de 13.8M. Después del tour de P037 retiró el interés en P009. No hubo oferta formal. Registrado para trazabilidad del proceso de decisión de Lorenzo.
O019,P038,L040,AGT-04,0,2024-02-05,carta de intención firmada,0,14,renta mensual,0,Mónica Pech firmó carta de intención para P038 en Valladolid a 28K mensuales con contrato de 6 meses. Propietario aceptó. Depósito de un mes acordado. Entrega programada para el 1 de marzo cuando Mónica inicia su trabajo en Valladolid.
O020,P002,L037,AGT-02,5700000,2024-02-02,en negociación,6100000,30,contado,10,Nicolás Barbachano ofreció 5.7M sobre precio de 6.1M en su primera visita al edificio. Propietario contravino con precio firme de 6.1M. Gap de 400K. Nicolás conoce los números mejor que nadie. El análisis de ROI que recibió justifica el precio. Probable que ceda si se le muestra comparativo de precio por m² en el edificio.
