interaction_id,lead_id,agent_id,property_id,channel,direction,interaction_datetime,summary,sentiment,intent,next_action,next_action_due,visibility
I001,L001,AGT-02,,instagram,entrante,2024-01-08 10:14:00,Lead llegó por DM en Instagram preguntando por casas en Altabrisa con alberca. Respondió bien al contenido de P015. Solicitó información de precios.,positivo,exploración,Enviar ficha de P015 y P031 por WhatsApp,2024-01-09,equipo
I002,L001,AGT-02,P015,whatsapp,saliente,2024-01-09 09:30:00,Se enviaron fichas de P015 y P031. Respondió en menos de 20 minutos. Preguntó si había algo disponible antes de Semana Santa.,muy positivo,calificación,Agendar visita presencial a P015,2024-01-10,equipo
I003,L001,AGT-02,P015,visita presencial,saliente,2024-01-11 11:00:00,Visita a P015. Gabriela llegó con su esposo. Recorrido de 45 minutos. Le encantó la sala de cine y el jardín. Preguntó si el precio era negociable. No lo es.,muy positivo,intención de compra,Presentar carta oferta formal,2024-01-12,equipo
I004,L001,AGT-02,P015,whatsapp,entrante,2024-01-13 18:45:00,Escribió para preguntar si podían obtener tiempo adicional para revisar con su notario antes de firmar carta oferta. Tono ansioso pero comprometido.,positivo,negociación,Coordinar con notario del cliente,2024-01-15,equipo
I005,L002,AGT-01,,referido,entrante,2024-01-10 09:00:00,Referido por OWN-027. Primera llamada de 20 minutos. Ricardo busca villa grande en privada para familia de cinco. Presupuesto entre 15M y 28M. Esposa toma la decisión final.,positivo,calificación,Agendar cita con Ricardo y su esposa,2024-01-14,equipo
I006,L002,AGT-01,P003,visita presencial,saliente,2024-01-16 10:30:00,Tour de P003 con Ricardo y su esposa. Ella preguntó por el cenote y las habitaciones de servicio. Él por la seguridad de la privada. Ambos interesados pero quieren ver más opciones.,positivo,exploración,Mostrar P019 cuando esté disponible,2024-01-17,equipo
I007,L003,AGT-03,,portal inmobiliario,entrante,2024-01-12 14:22:00,Formulario en portal con interés en casa colonial. Respondió email inicial con buena ortografía en inglés. Ciudadana francesa. Visita a Mérida en enero.,positivo,exploración,Enviar catálogo colonial en inglés por email,2024-01-13,equipo
I008,L003,AGT-03,P004,email,saliente,2024-01-13 10:00:00,Se enviaron fichas de P004 y descripción de zona Centro Histórico en inglés. Sophie respondió con tres preguntas técnicas sobre el estado estructural y la restricción INAH.,positivo,calificación,Responder preguntas técnicas con dictamen de estructuras,2024-01-15,equipo
I009,L003,AGT-03,P004,email,entrante,2024-01-15 16:30:00,Sophie confirma visita para el 20 de enero durante su estancia en Mérida. Pide que la reunión sea en inglés o francés. Tono cálido y profesional.,muy positivo,agenda visita,Confirmar logística de visita y preparar material en inglés,2024-01-16,equipo
I010,L003,AGT-03,P004,visita presencial,saliente,2024-01-20 10:00:00,Visita a P004 con Sophie. Quedó encantada con la bóveda catalana y el patio. Preguntó sobre proceso de compra para extranjeros y fideicomiso. Hay interés real pero proceso es largo.,muy positivo,exploración legal,Conectar a Sophie con Emilio Dzul para asesoría legal de extranjeros,2024-01-21,equipo
I011,L004,AGT-05,,sitio web meridiana,entrante,2024-01-09 11:50:00,Formulario web con datos claros: inversionista busca depto para renta con pre-aprobación BBVA de 5.5M. Quiere ROI proyectado.,positivo,calificación,Enviar análisis de mercado por zona norte,2024-01-10,equipo
I012,L004,AGT-05,P002,whatsapp,saliente,2024-01-10 12:00:00,Se envió análisis de ocupación de zona Altabrisa y ficha de P002. Andrés respondió con preguntas sobre mantenimiento mensual y contrato de administración.,positivo,calificación,Preparar simulación de ROI para P002,2024-01-12,equipo
I013,L004,AGT-05,P002,llamada,saliente,2024-01-14 16:00:00,Llamada de 30 minutos. Se presentó simulación de ROI con renta proyectada de 28K mensuales. Andrés quedó satisfecho. Solicitó visita al edificio.,muy positivo,intención de compra,Agendar visita a P002 esta semana,2024-01-15,equipo
I014,L005,AGT-05,,feria inmobiliaria,entrante,2024-01-20 13:00:00,Pareja se acercó al stand de Meridiana en expo. Formulario completado. INFONAVIT en proceso. Buscan primera casa con escuelas cercanas. Zona Santa Gertrudis o Cholul.,neutral,exploración,Llamar para calificar avance de crédito INFONAVIT,2024-01-22,equipo
I015,L005,AGT-05,,llamada,saliente,2024-01-22 10:30:00,Llamada de seguimiento. INFONAVIT aún en dictamen. Complemento bancario en estudio de crédito. Timeline incierto. Se les explicó el proceso. Quedaron tranquilos.,neutral,calificación,Seguimiento mensual hasta que crédito esté aprobado,2024-02-22,equipo
I016,L006,AGT-13,,referido,entrante,2024-01-15 09:00:00,Thomas Brinkmann contactó por referido. Alemán con proyecto de hospedaje boutique. Habló con AGT-13 en inglés. Presupuesto alto. Viaje a Mérida confirmado en mayo.,positivo,calificación,Preparar dossier de haciendas disponibles en inglés y alemán,2024-01-17,equipo
I017,L006,AGT-13,P013,email,saliente,2024-01-17 09:00:00,Se envió dossier de P013 con historia de la hacienda y status de licencia de hospedaje en inglés. Thomas respondió con interés alto. Hizo preguntas sobre los tres herederos.,positivo,calificación,Confirmar agenda para visita en mayo,2024-01-20,equipo
I018,L007,AGT-02,,instagram,entrante,2024-01-18 20:30:00,DM en Instagram con pregunta genérica sobre casas en zona histórica norte. Sin presupuesto definido. Perfil Instagram activo en contenido de diseño y arquitectura.,neutral,exploración,Nutrir con contenido de García Ginerés e Itzimná durante 60 días,2024-01-19,equipo
I019,L009,AGT-01,,referido,entrante,2024-01-17 11:00:00,Referida por L002. Lourdes Góngora llama directamente. Familia consolidada. Busca casa grande en zona de club. Muy decidida. Sabe lo que quiere y no pierde tiempo.,muy positivo,calificación,Verificar disponibilidad de P010 y preparar alternativas,2024-01-18,equipo
I020,L009,AGT-01,P010,llamada,saliente,2024-01-18 15:00:00,P010 está apartada. Se le explicó la situación. Lourdes pidió quedar en lista de espera si el cierre se cae. Se le mostró P003 como alternativa. Interés moderado en la alternativa.,positivo,exploración,Mantener en lista de espera para P010 y seguimiento quincenal,2024-02-01,equipo
I021,L011,AGT-02,,instagram,entrante,2024-01-19 14:10:00,Helena escribe desde Miami. Ve contenido de Mérida en Instagram desde hace meses. Quiere regresar a vivir en México. Presupuesto entre 9M y 16M. Cita agendada para abril.,muy positivo,calificación,Confirmar cita de abril y enviar catálogo de zona norte premium,2024-01-20,equipo
I022,L012,AGT-12,,portal inmobiliario,entrante,2024-01-10 10:00:00,Formulario de portal. Fernando Barbachano busca hacienda como activo patrimonial. Nombre reconocido en la región. Sin urgencia pero con capital real.,positivo,exploración,Enviar dossier de P013 con enfoque patrimonial,2024-01-11,equipo
I023,L012,AGT-13,P013,email,saliente,2024-01-11 09:30:00,Reasignado a AGT-13 por especialidad. Se envió dossier de P013 con historia planos y situación del fideicomiso. Fernando respondió con interés y pidió reunión presencial.,positivo,calificación,Agendar reunión presencial con Fernando y su equipo legal,2024-01-18,equipo
I024,L014,AGT-01,,referido,entrante,2024-01-21 09:00:00,James y Patricia Whitmore contactan por referido. Pareja estadounidense. Retiro en Mérida. Visa temporal en trámite. Buscan villa grande. Tono muy amigable en inglés.,muy positivo,calificación,Enviar catálogo de villas ultra en inglés,2024-01-22,equipo
I025,L014,AGT-01,P019,email,saliente,2024-01-22 10:00:00,Se envió ficha de P019 con nota de confidencialidad. James respondió con entusiasmo. Patricia pidió video tour antes de viajar a Mérida.,positivo,calificación,Grabar video tour de P019 y enviar antes del 28 de enero,2024-01-26,privado
I026,L014,AGT-01,P019,videollamada,saliente,2024-01-29 17:00:00,Video tour en vivo de P019 con James y Patricia. 50 minutos. Muy positivos. Patricia preguntó sobre vecinos y comunidad. James sobre plusvalía de la zona norte.,muy positivo,intención de compra,Preparar propuesta formal en inglés con comparativo de plusvalía,2024-01-31,privado
I027,L015,AGT-08,,sitio web meridiana,entrante,2024-01-14 16:45:00,Formulario web. Rossana busca casa en zona histórica norte. Descripción muy específica en estética: jardín maduro arquitectura de carácter. Rechazó propiedades modernas previas.,positivo,calificación,Llamar para entender mejor sus referencias estéticas,2024-01-15,equipo
I028,L015,AGT-08,P007,llamada,saliente,2024-01-15 11:00:00,Llamada de 25 minutos. Rossana describió casas que rechazó: dos en Altabrisa muy cuadradas y sin alma. Quiere algo con historia. Se le propuso P007 y P027. Muy interesada en ambas.,positivo,calificación,Agendar visita doble a P007 y P027 el mismo día,2024-01-17,equipo
I029,L015,AGT-08,P007,visita presencial,saliente,2024-01-19 10:00:00,Visita a P007. Rossana llegó sola. Recorrió el jardín tres veces. Dijo que el árbol central era el criterio definitivo. Pidió tiempo para pensarlo.,muy positivo,reflexión,Darle espacio 5 días y luego seguimiento suave,2024-01-24,equipo
I030,L015,AGT-08,P027,visita presencial,saliente,2024-01-19 12:30:00,Visita a P027 el mismo día. Buen recibimiento pero menor conexión emocional que P007. Jardín más nuevo y menos maduro. Rossana fue directa: prefiere P007.,positivo,decisión,Solicitar carta de intención para P007,2024-01-25,equipo
I031,L017,AGT-12,,sitio web meridiana,entrante,2024-01-16 09:20:00,Formulario web claro y bien completado. Ana Cecilia Pech busca depto en Progreso con vista al mar. Liquidez disponible. Experiencia previa como anfitriona Airbnb.,positivo,calificación,Enviar ficha de P026 de inmediato,2024-01-16,equipo
I032,L017,AGT-12,P026,whatsapp,saliente,2024-01-16 11:00:00,Ficha de P026 enviada. Respondió en 10 minutos. Tres preguntas: orientación del balcón norte o sur orientación al mar si tiene lavandería y si acepta mascotas.,positivo,calificación,Responder preguntas técnicas y agendar visita esta semana,2024-01-17,equipo
I033,L017,AGT-12,P026,visita presencial,saliente,2024-01-19 11:00:00,Visita a P026 en Progreso. Ana Cecilia llegó en punto. Recorrido rápido y decisivo. El balcón orientado al mar fue determinante. Preguntó sobre escrituración y tiempos.,muy positivo,intención de compra,Iniciar proceso de oferta formal,2024-01-20,equipo
I034,L019,AGT-13,,referido,entrante,2024-01-18 10:00:00,Isabelle Fontaine contacta por referido de cliente europeo. Francesa con experiencia en hospitalidad de lujo. Busca hacienda para hotel boutique. Presupuesto hasta 50M. Socios en París.,muy positivo,calificación,Preparar dossier premium de P013 con proyección turística en inglés y francés,2024-01-19,equipo
I035,L019,AGT-13,P013,email,saliente,2024-01-19 14:00:00,Dossier de P013 enviado en inglés con análisis de potencial turístico y comparativo de ocupación de haciendas boutique en Yucatán. Isabelle respondió con tres páginas de preguntas estructuradas. Perfil excepcional.,muy positivo,due diligence,Coordinar visita presencial en junio y conectar con Emilio Dzul para legal,2024-01-22,equipo
I036,L021,AGT-01,,referido,entrante,2024-01-22 08:30:00,Patricio Cervera llama temprano. Directivo corporativo en asignación de 24 meses. Empresa paga. Busca residencia amueblada de nivel alto. Necesita contrato a nombre de persona moral inmediato.,muy positivo,calificación,Verificar disponibilidad de P022 para contrato corporativo,2024-01-22,equipo
I037,L021,AGT-01,P022,llamada,saliente,2024-01-22 10:00:00,Verificada disponibilidad de P022 con OWN-022. Condiciones de persona moral aceptadas por el dueño. Se comunicó a Patricio. Pedirá carta de oferta de su empresa esta semana.,muy positivo,intención de renta,Recibir carta de la empresa y preparar contrato,2024-01-25,equipo
I038,L022,AGT-06,,instagram,entrante,2024-01-20 19:45:00,DM desde CDMX. Luciana acaba de aceptar trabajo en Mérida. Busca depto amueblado de inmediato. Presupuesto 30K a 50K. Llega en tres semanas.,positivo,urgente,Enviar fichas de P006 y P012 esta noche,2024-01-20,equipo
I039,L022,AGT-06,P006,whatsapp,saliente,2024-01-20 21:00:00,Fichas de P006 y P012 enviadas. Respondió en menos de una hora. P006 en piso 8 le pareció perfecto. Preguntó si el propietario acepta contratos de 6 meses.,positivo,calificación,Consultar al propietario de P006 condición de contrato de 6 meses,2024-01-21,equipo
I040,L022,AGT-06,P006,llamada,saliente,2024-01-21 12:00:00,OWN-066 confirmó que el mínimo es 12 meses. Se le comunicó a Luciana. Acepta las condiciones. Agenda videollamada para ver el depto en vivo antes de llegar a Mérida.,positivo,intención de renta,Preparar videotour de P006 para Luciana,2024-01-22,equipo
I041,L023,AGT-01,,portal inmobiliario,entrante,2024-01-17 13:30:00,William Foster contacta por portal. Estadounidense de San Diego. Muy bien informado sobre Mérida. Busca retiro en zona segura con comunidad extranjera. Tono pausado y metódico.,positivo,exploración,Responder en inglés con catálogo de zona norte y contexto de comunidad expat,2024-01-18,equipo
I042,L023,AGT-01,P037,email,saliente,2024-01-18 11:00:00,Email en inglés con perfil de zona norte Mérida y fichas de P037 y P003. William respondió con preguntas sobre seguridad privada y cercanía a hospitales. No preguntó por precio todavía.,positivo,exploración,Responder preguntas sobre seguridad y servicios médicos cercanos,2024-01-20,equipo
I043,L025,AGT-01,,referido,entrante,2024-01-23 09:00:00,Rafael Peniche llama directamente. Voz segura. Portafolio en Cancún y CDMX. Quiere expandir a Mérida con lo mejor que haya. Disponible para visitas la primera semana de febrero.,muy positivo,calificación,Preparar selección curada de P003 P013 y P019 para presentación ejecutiva,2024-01-24,equipo
I044,L025,AGT-01,P003,visita presencial,saliente,2024-02-05 09:00:00,Tour privado con Rafael. Transporte desde su hotel. Presentación impresa. Visitó P003 con atención a detalle en materiales y acabados. Hizo preguntas que solo hace alguien que ya compró propiedades de este nivel.,muy positivo,due diligence,Enviar documentación técnica completa de P003,2024-02-06,privado
I045,L025,AGT-01,P019,visita presencial,saliente,2024-02-05 11:30:00,Segunda parada del tour privado. P019. Rafael fue directo: le interesa más que P003. El jardín de 2200 m² y la alberca infinita fueron decisivos. Pidió información del propietario. No se proporcionó.,muy positivo,negociación,Intermediar propuesta formal sin revelar identidad del propietario,2024-02-07,privado
I046,L027,AGT-08,,referido,entrante,2024-01-24 10:00:00,Héctor Bolio llama. Familia yucateca. Esposa embarazada. Quieren cerrar antes de julio. Cinco recámaras mínimo en zona histórica norte. Urgencia real y presupuesto confirmado.,muy positivo,calificación,Agendar visita a P007 y P027 urgente,2024-01-25,equipo
I047,L027,AGT-08,P027,visita presencial,saliente,2024-01-26 10:00:00,Visita a P027 con Héctor y su esposa. Ella evaluó cuartos con ojo clínico. Preguntó por orientación de la habitación principal respecto al sol. Él preguntó sobre vecinos y escrituras.,positivo,calificación,Verificar orientación y entregar copia de escrituras para revisión,2024-01-28,equipo
I048,L029,AGT-01,,referido,entrante,2024-01-25 08:00:00,Ernesto Uribe llama a las 8AM. Director regional. Empresa paga. Necesita villa amueblada de nivel ultra para 24 meses. Presupuesto de 65K a 110K mensual. Quiere cerrar esta semana.,muy positivo,urgente,Revisar P035 para ver si termina contrato antes y opciones adicionales,2024-01-25,privado
I049,L029,AGT-01,P022,llamada,saliente,2024-01-25 11:00:00,P022 ya tiene proceso con L021 en curso. No disponible. Se buscaron alternativas. OWN-035 podría liberar P035 anticipadamente si el nuevo renter paga diferencial. Consultando.,positivo,negociación,Consultar a OWN-035 sobre liberación anticipada de P035,2024-01-26,privado
I050,L031,AGT-02,,referido,entrante,2024-01-26 09:30:00,Armando Góngora llama por referido. Ejecutivo del sector salud. Muy claro: quiere calle interior o privada. No avenidas principales. Cuatro recámaras. Zona norte. Contado.,positivo,calificación,Mostrar P015 y P031 que cumplen el criterio de privacidad,2024-01-27,equipo
I051,L031,AGT-02,P031,visita presencial,saliente,2024-01-29 10:00:00,Visita a P031. Armando llegó solo. Recorrido metódico: midió cuartos a ojo revisó presión de agua y preguntó por el proveedor del generador. Perfil técnico y exigente. Buena señal.,muy positivo,due diligence,Enviar ficha técnica completa con especificaciones del generador y sistemas,2024-01-30,equipo
I052,L033,AGT-07,,instagram,entrante,2024-01-22 21:00:00,Diego Peniche arquitecto escribe en Instagram. Conoce la obra de los diseñadores detrás de P037. Quiere ver la residencia. Perfil muy exigente. No tolera improvisación.,positivo,calificación,Preparar dossier arquitectónico de P037 con créditos y materiales antes de responder,2024-01-23,equipo
I053,L033,AGT-07,P037,email,saliente,2024-01-23 11:00:00,Dossier de P037 enviado con planos memorias de materiales y nota del arquitecto diseñador. Diego respondió mismo día con cuatro observaciones técnicas precisas sobre las juntas de concreto aparente. Nivel de análisis muy alto.,muy positivo,due diligence,Coordinar visita con el arquitecto diseñador presente si el propietario lo permite,2024-01-25,equipo
I054,L033,AGT-07,P037,visita presencial,saliente,2024-01-28 10:00:00,Visita a P037. Diego llegó con cuaderno. Pasó 20 minutos en la fachada antes de entrar. Dentro fotografió detalles de uniones y encontró un detalle de remate que no le convenció. Lo mencionó sin drama. Interés genuino pero análisis lento.,positivo,reflexión,Darle tiempo y consultar al arquitecto diseñador sobre el remate señalado,2024-01-31,equipo
I055,L034,AGT-05,,feria inmobiliaria,entrante,2024-01-20 13:30:00,Stand de feria. María Fernanda Solís. Profesionista independiente. Pre-aprobación Banorte de 7M. Primera propiedad. Zona norte. Tres recámaras. Proceso activo.,positivo,calificación,Llamar para calificar y enviar opciones de zona norte en ese rango,2024-01-22,equipo
I056,L034,AGT-05,,llamada,saliente,2024-01-22 12:00:00,Llamada de 20 minutos. María Fernanda está lista para avanzar. Tiene documentos en orden. Se le explicó el proceso completo de compra con crédito bancario. Muy receptiva.,muy positivo,calificación,Agendar visitas a propiedades en rango de 7M en zona norte,2024-01-24,equipo
I057,L037,AGT-02,,referido,entrante,2024-01-27 10:00:00,Nicolás Barbachano llama. Dos deptos rentando en Cancún. Quiere diversificar en Mérida. Pide datos duros: tasa de ocupación zona norte y comparativo de precios por m² antes de ver propiedades.,positivo,calificación,Preparar análisis de mercado de zona norte con datos de ocupación y plusvalía,2024-01-28,equipo
I058,L037,AGT-02,P002,whatsapp,saliente,2024-01-28 15:00:00,Análisis de mercado enviado con datos de zona Altabrisa: ocupación promedio 78% renta promedio de 27K mensuales y plusvalía anual estimada de 9%. Nicolás respondió rápido. Quiere ver P002.,muy positivo,intención de compra,Agendar visita a P002 para esta semana,2024-01-29,equipo
I059,L038,AGT-08,,instagram,entrante,2024-01-25 20:00:00,Renata Uribe escribe por DM. Empresaria local. Vio publicación de P007 en Instagram. Le pregunta directamente si sigue disponible.,positivo,exploración,Confirmar disponibilidad y agendar cita presencial,2024-01-26,equipo
I060,L038,AGT-08,P007,visita presencial,saliente,2024-01-28 11:00:00,Visita a P007 con Renata. Llegó con su socio de negocios. Recorrido de una hora. Mucho silencio evaluativo. Al final preguntó cuántas personas habían visitado la propiedad este mes. Señal de interés competitivo.,muy positivo,negociación,Informarle que hay otro perfil activo en P007 sin revelar identidad. Crear sana urgencia.,2024-01-29,equipo
I061,L039,AGT-01,,referido,entrante,2024-01-28 09:00:00,Lorenzo Escalante referido directo del director. Llama con voz calma pero precisa. Sector energético. Busca propiedad de representación además de residencia. Presupuesto hasta 38M. Solo quiere ver lo mejor.,muy positivo,calificación,Preparar experiencia diferenciada: transporte privado selección curada y presentación impresa,2024-01-29,privado
I062,L039,AGT-01,P037,visita presencial,saliente,2024-02-03 10:00:00,Tour privado con Lorenzo. Transporte desde su oficina. Presentación impresa encuadernada en negro con fichas de P037 y P003. Visitó P037 primero. Pasó 90 minutos. Tomó pocas fotos pero hizo preguntas sobre el sistema de automatización.,muy positivo,due diligence,Enviar especificaciones del sistema domótico de P037,2024-02-04,privado
I063,L039,AGT-01,P003,visita presencial,saliente,2024-02-03 12:30:00,Segunda parada del tour privado. P003 en Temozón Norte. Lorenzo recorrió el exterior con atención al perímetro y accesos. Interior le pareció premium pero el diseño más convencional que P037. Se inclinó por P037 al final del día.,muy positivo,negociación,Preparar propuesta formal para P037 con análisis de plusvalía del corredor,2024-02-05,privado
I064,L040,AGT-04,,portal inmobiliario,entrante,2024-01-29 11:00:00,Mónica Pech busca renta en Valladolid. Se muda por trabajo. Casa colonial en el centro. Presupuesto de 20K a 35K mensual. Sin prisa particular pero el trabajo empieza en marzo.,positivo,calificación,Confirmar disponibilidad de P038 en modo renta mensual con el propietario,2024-01-30,equipo
I065,L040,AGT-04,P038,whatsapp,saliente,2024-01-30 10:00:00,Consulta enviada a OWN-038 sobre modalidad de renta mensual prolongada para P038. Propietario respondió que sí pero quiere contrato mínimo de 6 meses. Se comunica a Mónica.,positivo,calificación,Enviar condiciones a Mónica y agendar videollamada con el propietario,2024-01-31,equipo
