property_id,listing_code,commercial_name,title,property_type,listing_type,status,price_mxn,maintenance_fee_mxn,bedrooms,bathrooms,parking_spaces,construction_m2,lot_m2,year_built,furnished,pet_friendly,address_line,neighborhood,municipality,state,postal_code,latitude,longitude,gated_community,luxury_tier,days_on_market,agent_id,owner_id,public_description,internal_summary,,,,
P001,MER-2024-001,Hydraterra,Residencia en Montecristo con cenote privado,casa,venta,activa,18500000,4500,5,5.5,3,620,1200,2019,no,no,Calle 34 #215 entre 25 y 27,Montecristo,Mérida,Yucatán,97133,21.0285,-89.5932,sí,ultra,12,AGT-01,OWN-011,Residencia de cinco recámaras con doble altura en sala principal. Cenote privado en jardín posterior. Cocina italiana con isla central. Cuarto de servicio independiente. Seguridad 24 horas.,Cliente discreto. Precio firme. No acepta visitas sin cita previa confirmada. Interesados de alto perfil únicamente.,,,,
P002,MER-2024-002,Acrocaelum,Departamento en Torre Cúspide con vista panorámica,depto,venta,activa,7200000,3800,3,3,2,198,0,2022,sí,no,Avenida Prolongación Montejo #480 Piso 14,Altabrisa,Mérida,Yucatán,97130,21.0412,-89.6051,sí,premium,27,AGT-02,OWN-022,Departamento en piso 14 con vista a la ciudad. Tres recámaras con walk-in closet. Amenidades: rooftop, gimnasio, sala de negocios y alberca elevada.,Ocupante actual sale en enero. Posible negociación en precio si cierre es antes de fin de año.,,
P003,MER-2024-003,Megazamá,Villa contemporánea en Temozón Norte,villa,venta,activa,32000000,6000,6,6.5,4,980,3500,2021,no,sí,Carretera Temozón Norte Km 4.2 Lote 8,Temozón Norte,Mérida,Yucatán,97302,21.0891,-89.5743,sí,ultra,8,AGT-01,OWN-033,Villa de seis recámaras en privada con 12 casas. Alberca desbordante, palapa, jardín con iluminación arquitectónica. Bodega de vinos climatizada. A 10 minutos del norte de Mérida.,Vendedor motivado. Construyó para uso propio pero se reubica a CDMX. Acepta permuta parcial con propiedad en Polanco.,,
P004,MER-2024-004,Chronovita,Casa colonial restaurada en el Centro Histórico,casa,venta,activa,9800000,0,4,3.5,2,480,620,1920,no,no,Calle 60 #310 x 35 y 37,Centro Histórico,Mérida,Yucatán,97000,20.9677,-89.6237,no,premium,45,AGT-03,OWN-044,Casa colonial del siglo XX completamente restaurada. Techos de bóveda catalana, pisos de mosaico original, patio central con vegetación tropical. Fachada protegida por INAH.,Requiere verificación de uso de suelo para uso mixto. El comprador tiene interés en convertirla en boutique hotel. Asesorar con cuidado legal.,,
P005,MER-2024-005,Moduluúm,Townhouse en Privada Santa Gertrudis,townhouse,venta,activa,4100000,1800,3,2.5,2,210,180,2023,no,sí,Privada Santa Gertrudis #7,Santa Gertrudis Copó,Mérida,Yucatán,97109,21.0538,-89.6312,sí,entrada,18,AGT-02,OWN-055,Townhouse de tres niveles en privada de ocho unidades. Acabados de primera, terraza en azotea con asador. Excelente conectividad al norte de la ciudad.,Primera adquisición del dueño. Precio acorde al mercado. Buen candidato para joven profesionista o pareja.,,,
P006,MER-2024-006,Symbiópolis,Departamento de lujo en Courtyard Mérida Norte,depto,renta,activa,55000,2200,2,2,1,145,0,2020,sí,no,Calle 20 #98 x 17 y 19 Piso 8,Chuburná de Hidalgo,Mérida,Yucatán,97205,21.031,-89.6198,sí,premium,5,AGT-03,OWN-066,Departamento amueblado de dos recámaras con balcón. Edificio con lobby de doble altura, coworking y rooftop con parrilla. Disponible inmediato.,Propietario busca arrendatario de perfil ejecutivo. Contrato mínimo 12 meses. No estudiantes.,,,
P007,MER-2024-007,Biofilum,Residencia en García Ginerés con alberca y jardín,casa,venta,activa,12400000,0,4,4,3,520,900,2005,no,sí,Calle 21 #440 x 36 y 38,García Ginerés,Mérida,Yucatán,97070,20.9812,-89.6289,no,premium,33,AGT-01,OWN-077,Casa de cuatro recámaras en zona consolidada y arbolada. Alberca de 12 metros, jardín maduro, estudio independiente. Tres cuartos de servicio. Bodega de 40 m².,Dueño radica en el exterior. Gestión vía apoderado legal. Precio con margen de negociación del 8%.,,
P008,MER-2024-008,Topoplano,Terreno en Dzityá para desarrollo residencial,terreno,venta,activa,5600000,0,0,0,0,0,2800,0,no,no,Carretera Dzityá s/n lote 14,Dzityá,Mérida,Yucatán,97302,21.0743,-89.6891,no,entrada,60,AGT-04,OWN-088,Terreno de 2800 m² en zona de crecimiento hacia el poniente. Servicios en calle. Uso de suelo habitacional. Ideal para desarrollo de seis a ocho casas.,Dueño urgido. Ha bajado precio dos veces. Posibilidad de financiamiento directo con enganche del 30%.,,,,
P009,MER-2024-009,Aethelsky,Penthouse en Mérida en el exclusivo edificio Ánfora,depto,venta,activa,14900000,5500,4,4.5,3,380,0,2023,sí,no,Avenida Constituyentes #1200 Piso 18,Norte Mérida,Mérida,Yucatán,97128,21.0455,-89.5981,sí,ultra,21,AGT-01,OWN-099,Penthouse de cuatro recámaras en el piso más alto del edificio Ánfora. Terraza privada de 120 m² con alberca propia, jacuzzi y vista 360°. Cocina Gaggenau. Cava integrada.,Unidad única en el edificio. El desarrollador la retuvo para uso propio y ahora la libera. Sin comparables directos en el mercado.,,,
P010,MER-2024-010,Regallá,Casa en Yucatán Country Club,casa,venta,apartada,22000000,8000,5,5,4,750,1100,2017,no,no,Boulevard Country Club #330,Yucatán Country Club,Mérida,Yucatán,97308,21.0201,-89.7012,sí,ultra,0,AGT-02,OWN-010,Residencia frente al campo de golf. Cinco recámaras, sala de cine, gimnasio privado, cuarto de servicio con entrada independiente. Acabados importados de Europa.,Propiedad apartada con el 10% de enganche. Cierre programado para 60 días. No mostrar a nuevos prospectos.,
P011,MER-2024-011,Ecolúum,Casa en Cholul con huerto y diseño bioclimático,casa,venta,activa,6700000,0,3,3,2,310,1400,2018,no,sí,Calle Principal #45 Cholul,Cholul,Mérida,Yucatán,97305,21.0689,-89.7231,no,entrada,40,AGT-04,OWN-011,Casa de diseño bioclimático con orientación solar optimizada. Huerto orgánico, cisterna de captación pluvial, paneles solares. Tres recámaras con acabados naturales.,Propietario es arquitecto. Documentación en orden. Perfil de comprador: familia consciente, no especulador.,
P012,MER-2024-012,Urbavita,Departamento en renta en Altabrisa amueblado,depto,renta,activa,28000,1500,2,2,1,110,0,2019,sí,no,Calle 60 Norte #580 Piso 5,Altabrisa,Mérida,Yucatán,97130,21.0398,-89.6044,sí,entrada,3,AGT-03,OWN-012,Departamento amueblado de dos recámaras en edificio con vigilancia. Área de lavandería en piso, estacionamiento techado. A cinco minutos de Plaza Altabrisa.,Disponible de inmediato. Propietario acepta mascotas pequeñas con depósito adicional.,,,
P013,MER-2024-013,Imperlumá,Hacienda San Isidro restaurada en Conkal,villa,venta,activa,45000000,0,7,7,6,1800,12000,1880,no,no,Km 12 Carretera Mérida-Conkal s/n,Conkal,Conkal,Yucatán,97345,21.0923,-89.5201,no,ultra,90,AGT-01,OWN-013,Hacienda del siglo XIX restaurada con máxima fidelidad histórica. Siete suites, capilla, máquina henequenera rehabilitada, cenote en terreno, piscina natural. Licencia de hospedaje vigente.,Operación compleja. Requiere due diligence de escrituras. Vendedor es fideicomiso familiar con tres herederos. Precio con margen real del 12%.
P014,MER-2024-014,Duópolis,Townhouse doble en Privada Lagos del Norte,townhouse,venta,vendida,3850000,1600,3,2.5,2,195,160,2022,no,no,Privada Lagos del Norte #14,Chuburná de Hidalgo,Mérida,Yucatán,97205,21.0289,-89.6201,sí,entrada,0,AGT-02,OWN-014,Townhouse en esquina con mayor área de jardín. Tres recámaras, acabados de línea media-alta. Privada con 16 unidades y área de juegos infantiles.,Vendida. Cierre notariado el 14 de marzo de 2024. Expediente completo en archivo.,,,
P015,MER-2024-015,Cinematerra,Residencia en Jardines del Norte con cine privado,casa,venta,activa,16200000,3000,5,5,3,680,980,2016,no,no,Calle 18 #320 x 27 y 29,Jardines del Norte,Mérida,Yucatán,97115,21.0502,-89.6078,sí,ultra,22,AGT-01,OWN-015,Residencia de cinco recámaras con sala de cine de ocho lugares, estudio, sala de juegos y alberca con cascada. Jardín con iluminación LED arquitectónica. Generador eléctrico.,Propietario con urgencia media. Disponible para visitas martes y jueves únicamente por agenda del dueño.,,
P016,MER-2024-016,Terralúum,Departamento en planta baja con jardín privado,depto,renta,rentada,32000,0,2,2,1,130,80,2021,sí,sí,Avenida Itzáes #890 PB,Itzimná,Mérida,Yucatán,97100,20.9944,-89.6301,no,entrada,0,AGT-03,OWN-016,Planta baja con jardín privado de 80 m². Dos recámaras, cocina equipada, área de lavado exterior. Permite mascotas. Barrio tranquilo cerca del parque Itzimná.,Rentada hasta enero 2025. Propietario abierto a nueva renta a partir de febrero. Registrar prospecto interesado.,,
P017,MER-2024-017,Domusvía,Casa en Vía Montejo frente a avenida principal,casa,venta,activa,8900000,0,4,3,2,380,520,2001,no,no,Calle 47 #195 x 20 y 22,Vía Montejo,Mérida,Yucatán,97119,21.0321,-89.6189,no,premium,55,AGT-04,OWN-017,Casa de cuatro recámaras en zona céntrica del norte. Remodelada en 2020. Sala amplia con doble altura, jardín lateral, estudio en planta alta. Cerca de centros comerciales y clínicas.,Precio alto respecto al mercado inmediato. Trabajar con el dueño para ajuste. Tiene apego emocional a la propiedad.,,
P018,MER-2024-018,Bifrontem,Terreno con frente doble en Hunucmá,terreno,venta,activa,1800000,0,0,0,0,0,3200,0,no,no,Calle 20 s/n Hunucmá,Hunucmá,Hunucmá,Yucatán,97350,20.9987,-90.0231,no,entrada,120,AGT-04,OWN-018,Terreno de 3200 m² con dos frentes de calle. Plano, sin construcción. Servicios básicos disponibles. Zona de crecimiento hacia el poniente del estado.,Activo de largo plazo. Mercado lento en esta zona. Mantener en cartera pero sin urgencia de cierre.,,,
P019,MER-2024-019,Infinitum,Villa en Privada Alturas del Norte con alberca infinita,villa,venta,activa,28500000,7500,6,6,4,1100,2200,2020,sí,no,Privada Alturas del Norte #3,Norte Mérida,Mérida,Yucatán,97128,21.0481,-89.5962,sí,ultra,14,AGT-01,OWN-019,Villa de seis recámaras con alberca infinita y jardín de 1500 m². Cocina de chef con equipamiento de restaurante. Terraza con pergolado de madera. Cuarto de pánico.,Vendedor en proceso de divorcio. Manejo con extrema discreción. No mencionar en presentaciones públicas ni redes sociales.,,,,
P020,MER-2024-020,Microhabitat,Departamento estudio en el Centro para inversión,depto,venta,activa,1950000,800,1,1,0,58,0,2018,sí,no,Calle 59 #485 Piso 3,Centro Histórico,Mérida,Yucatán,97000,20.9701,-89.6228,sí,entrada,38,AGT-03,OWN-020,Estudio de 58 m² con terraza compartida en edificio colonial restaurado. Ideal para renta turística de corto plazo. A dos cuadras del Paseo de Montejo.,Alto rendimiento por Airbnb. Calcular ROI de renta vacacional para presentar al comprador.,,,,
P021,MER-2024-021,Famillá,Casa en Fraccionamiento Las Américas,casa,venta,activa,5400000,900,4,3,2,280,400,2012,no,sí,Avenida Américas #714 x 67 y 69,Las Américas,Mérida,Yucatán,97302,21.0088,-89.6512,sí,entrada,48,AGT-02,OWN-021,Casa de cuatro recámaras en fraccionamiento consolidado. Alberca, jardín con árboles maduros, cuarto de servicio. Vigilancia en acceso principal. Zona escolar cercana.,Familia busca mudarse antes de agosto por cambio de ciclo escolar. Motivación real. Buen candidato para cierre rápido.,,
P022,MER-2024-022,Domusaudio,Residencia ejecutiva en Benito Juárez Norte,casa,renta,activa,75000,0,4,4,3,450,700,2014,sí,no,Calle 22 #150 x 11 y 13,Benito Juárez Norte,Mérida,Yucatán,97119,21.0399,-89.6101,no,premium,10,AGT-01,OWN-022,Residencia amueblada disponible para ejecutivos en asignación temporal. Cuatro recámaras, oficina, cuarto de servicio, jardín y alberca. Muebles de diseño importado.,Propietario acepta solo empresas como arrendatarias con aval corporativo. Contrato mínimo 18 meses.,
P023,MER-2024-023,Silvavita,Townhouse en Privada Paseos del Bosque,townhouse,venta,activa,4600000,2100,3,3,2,225,190,2023,no,no,Privada Paseos del Bosque #11,Cholul,Mérida,Yucatán,97305,21.0671,-89.7198,sí,entrada,16,AGT-02,OWN-023,Townhouse de tres niveles con terraza en azotea. Acabados de primera, cocina abierta, sala amplia. Privada con portón eléctrico y área verde central.,Unidad bien ubicada dentro de la privada: esquina con mayor ventilación. Resaltarlo en visitas.,,
P024,MER-2024-024,Zamacaelum,Penthouse doble en edificio Tulum Residences,depto,venta,borrador,11500000,4200,3,3.5,2,295,0,2024,no,no,Avenida del Lago #500 Piso 15 y 16,Norte Mérida,Mérida,Yucatán,97128,21.0467,-89.5978,sí,ultra,0,AGT-01,OWN-024,Penthouse de dos niveles en edificio nuevo entrega 2024. Tres recámaras, sala doble altura, terraza de 90 m² con jacuzzi. Edificio con lobby concierge y bodegas climatizadas.,Publicación pendiente de fotografía profesional. Coordinar sesión fotográfica antes de activar el listado.,,
P025,MER-2024-025,Hammockaterra,Casa en Chuburná Puerto para fin de semana,casa,renta,activa,18000,0,3,2,2,180,600,2008,no,sí,Calle Orquídeas #32,Chuburná Puerto,Progreso,Yucatán,97523,21.2198,-89.7812,no,entrada,7,AGT-04,OWN-025,Casa de playa de tres recámaras a 200 metros del mar. Palapa, jardín, estacionamiento para dos autos. Renta por temporadas o mensual. A 45 minutos de Mérida.,Renta vacacional con alta demanda en Semana Santa y verano. Propietario interesado en modelo co-hosting con Meridiana.,,
P026,MER-2024-026,Thalassamar,Departamento en Progreso con vista al mar,depto,venta,activa,3200000,600,2,2,1,95,0,2015,sí,no,Malecón de Progreso #210 Piso 4,Centro Progreso,Progreso,Yucatán,97320,21.2831,-89.6651,sí,entrada,70,AGT-04,OWN-026,Departamento con vista directa al Golfo de México. Dos recámaras, balcón de 25 m², alberca en azotea. Totalmente amueblado con estilo costero.,Precio negociable. Propietario compró segunda unidad más grande y quiere liquidar esta.,,
P027,MER-2024-027,Macrodomus,Residencia en Camara de Comercio zona exclusiva,casa,venta,activa,19800000,0,5,5.5,4,720,1050,2018,no,no,Calle 56-A #320 x 33 y 35,Itzimná,Mérida,Yucatán,97100,20.9988,-89.6315,no,ultra,29,AGT-01,OWN-027,Residencia de cinco recámaras en Itzimná, colonia de las más cotizadas del norte histórico. Jardín maduro, cuarto de servicio con baño, estudio independiente y alberca.,Zona con muy poca oferta activa. Posicionar como oportunidad de mercado. Precio justificable.,
P028,MER-2024-028,Altolof,Loft industrial en colonia San Sebastián,depto,renta,activa,22000,500,1,1,1,85,0,2022,sí,no,Calle 67-B #410,San Sebastián,Mérida,Yucatán,97000,20.9672,-89.6381,no,entrada,25,AGT-03,OWN-028,Loft de doble altura con diseño industrial. Techos de 4.5 m, vigas metálicas vistas, cocina equipada, baño de lujo. Zona emergente creativa cerca del centro.,Perfil ideal: creativo, arquitecto o profesionista sin hijos. Zona en rápida plusvalía.
P029,MER-2024-029,Comunitá,Casa en Privada Real Montejo de cuatro recámaras,casa,venta,activa,9200000,2500,4,4,3,410,560,2013,no,no,Privada Real Montejo #22,Montejo,Mérida,Yucatán,97133,21.029,-89.5965,sí,premium,36,AGT-02,OWN-029,Casa de cuatro recámaras en privada cerrada con alberca comunitaria y área de juegos. Acabados de lujo medio-alto. Cuarto de servicio, jardín y estudio.,Dueño acepta escriturar en dólares si el comprador es extranjero. Interesado en recibir pago parcial en USDT según abogado del cliente.,,,
P030,MER-2024-030,Agroglamp,Terreno en Conkal para uso agropecuario y glamping,terreno,venta,activa,3100000,0,0,0,0,0,8500,0,no,no,Carretera Conkal-Baca Km 3 Lote 22,Conkal,Conkal,Yucatán,97345,21.0867,-89.5334,no,entrada,85,AGT-04,OWN-030,Terreno de 8500 m² con árboles frutales establecidos y pozo. Uso actual agropecuario. Potencial para glamping, retiro o proyecto ecoturístico. Sin restricciones de construcción.,Mercado nicho. Presentar a compradores con visión de proyecto. No es inversión estándar.,,,
P031,MER-2024-031,Megasuites,Residencia en Altabrisa con cuatro suites master,casa,venta,activa,14500000,3500,4,4,3,580,850,2015,no,no,Calle 14 #580 x 27 y 29,Altabrisa,Mérida,Yucatán,97130,21.0421,-89.6038,sí,ultra,18,AGT-01,OWN-031,Cuatro suites master con baño y vestidor propios. Cocina gourmet con isla y alacena, sala de TV independiente, estudio, alberca y palapa. Generador incluido.,Familia con tres hijos. Cada habitación tiene baño. Gran argumento de venta para familias grandes.,
P032,MER-2024-032,Skylounge,Departamento en torre El Referente Piso 12,depto,venta,activa,6100000,3200,3,2.5,2,172,0,2021,no,no,Avenida Reforma #940 Piso 12,La Ceiba,Mérida,Yucatán,97203,21.0267,-89.6124,sí,premium,41,AGT-02,OWN-032,Departamento de tres recámaras en torre con amenidades completas: alberca, sky lounge, sala de negocios y lobby con conserjería. Cocina abierta, balcón de 18 m².,Unidad con balcón orientado al norte. Menos calor por las tardes. Argumentarlo en visitas.,
P033,MER-2024-033,Solarlúum,Casa ecológica en Umán con sistema off-grid,casa,venta,activa,4200000,0,3,2,2,240,1100,2020,no,sí,Calle 18 #60 Umán,Umán,Umán,Yucatán,97400,20.8912,-89.7531,no,entrada,67,AGT-04,OWN-033,Casa con sistema solar completo, biodigestor, captación de agua pluvial y huerto. Tres recámaras de amplitud media. Completamente independiente de red eléctrica.,Perfil comprador muy específico. No forzar a compradores convencionales. Mercado pequeño pero real.,,
P034,MER-2024-034,Patioá,Casa en Dzán para proyecto turístico,casa,venta,activa,2800000,0,4,2,3,320,2200,1960,no,no,Calle 15 #40 Dzán,Dzán,Dzán,Yucatán,97650,20.3821,-89.5612,no,entrada,110,AGT-04,OWN-034,Casa antigua de cuatro cuartos con patio central, pozo y traspatio de 2200 m². Estructura sólida. Requiere intervención arquitectónica para recuperar valor. Potencial turístico alto.,Zona rural. Precio muy bajo para el tipo de inmueble y terreno. Puede interesar a desarrollador de turismo cultural.,,,
P035,MER-2024-035,Corpovilla,Villa rentada a empresa trasnacional en Montejo,villa,renta,rentada,120000,0,5,5,4,750,1200,2010,sí,no,Calle 21 #620 x 44 y 46,García Ginerés,Mérida,Yucatán,97070,20.9834,-89.6277,no,ultra,0,AGT-01,OWN-035,Villa de cinco recámaras amueblada con contrato corporativo vigente. Propietario recibe renta puntual vía transferencia internacional. Gestión activa por Meridiana.,Contrato vence en agosto 2025. Iniciar conversación con propietario en Q1 para decidir renovación o venta. Alta prioridad para cartera.,,,,
P036,MER-2024-036,Centrópolis,Departamento en Mérida Centro para uso mixto,depto,venta,activa,3700000,700,2,2,1,118,0,2016,no,no,Calle 62 #250 Piso 2,Centro Histórico,Mérida,Yucatán,97000,20.9695,-89.6241,sí,entrada,52,AGT-03,OWN-036,Departamento de dos recámaras en edificio restaurado en el corazón del Centro Histórico. A metros del Palacio de Gobierno. Uso habitacional o de oficinas según permiso.,Comprador anterior se cayó por financiamiento bancario. Propietario frustrado. Trabajar con él en expectativas y reencuadre.,,,,
P037,MER-2024-037,Domótika,Residencia minimalista en privada Cielo Norte,casa,venta,activa,21500000,5000,5,5,3,810,1300,2022,no,no,Privada Cielo Norte #5,Norte Mérida,Mérida,Yucatán,97128,21.0473,-89.5947,sí,ultra,9,AGT-01,OWN-037,Residencia de diseño minimalista mexicano. Cinco recámaras, muros de concreto aparente, dobles alturas, espejo de agua en acceso. Palapa con bar y alberca desbordante.,Arquitecto diseñador interesado en mantener crédito de diseño en materiales de marketing. Coordinar con propietario y publicar como caso de estudio.,
P038,MER-2024-038,Cenotévita,Casa en Valladolid colonial para renta vacacional,casa,renta,activa,14000,0,3,2,1,210,380,1890,no,sí,Calle 41 #205 x 46 y 48,Centro Valladolid,Valladolid,Yucatán,97780,20.6897,-88.2021,no,entrada,31,AGT-04,OWN-038,Casa colonial en Valladolid totalmente restaurada. Tres recámaras, patio con cenote de uso privado, hammocks y vegetación tropical. A dos horas de Mérida y 45 minutos de Tulum.,Propiedad con alto potencial de renta vacacional de lujo. Propietario abierto a modelo de gestión mensual con Meridiana como operador. Evaluar propuesta.,,
